Tmax = 100000;

s("0")=3343;

s("1")=1857;

s("2")=5231;

s("3")=6758;

s("4")=9951;

s("5")=13206;

q("0","1")=1;
q("1","2")=1;
q("2","3")=1;
q("3","4")=1;
q("4","5")=1;
q("5","6")=1;
q("1","7")=1;
q("3","7")=1;
q("1","8")=1;
q("5","8")=1;
q("2","9")=1;
q("3","9")=1;
q("2","10")=1;
q("4","10")=1;
q("2","11")=1;
q("5","11")=1;
q("3","12")=1;
q("5","12")=1;
q("4","13")=1;
q("5","13")=1;
q("1","14")=1;
q("3","14")=1;
q("5","14")=1;
q("2","15")=1;
q("3","15")=1;
q("5","15")=1;
q("2","16")=1;
q("4","16")=1;
q("5","16")=1;

v("0","1")=1; 
v("1","2")=1; 
v("2","3")=1; 
v("3","4")=1; 
v("4","5")=1; 
v("5","6")=1; 
v("1","7")=0.55; 
v("3","7")=0.7; 
v("1","8")=0.96; 
v("5","8")=1; 
v("2","9")=0.49; 
v("3","9")=0.52; 
v("2","10")=0.86; 
v("4","10")=0.91; 
v("2","11")=0.83; 
v("5","11")=0.88; 
v("3","12")=0.86; 
v("5","12")=0.88; 
v("4","13")=0.97; 
v("5","13")=0.98; 
v("1","14")=0.46; 
v("3","14")=0.58; 
v("5","14")=0.85; 
v("2","15")=0.4; 
v("3","15")=0.41; 
v("5","15")=0.71; 
v("2","16")=0.69; 
v("4","16")=0.83; 
v("5","16")=0.81; 

a("2","1")=1; 
a("3","1")=1; 
a("4","1")=1; 
a("5","1")=1; 
a("6","1")=1; 
a("7","1")=1; 
a("8","1")=1; 
a("9","1")=1; 
a("10","1")=1; 
a("11","1")=1; 
a("12","1")=1; 
a("13","1")=1; 
a("14","1")=1; 
a("15","1")=1; 
a("16","1")=1; 
a("3","2")=1; 
a("5","2")=1; 
a("9","2")=1; 
a("10","2")=1; 
a("11","2")=1; 
a("13","2")=1; 
a("15","2")=1; 
a("16","2")=1; 
a("5","4")=1; 
a("10","4")=1; 
a("13","4")=1; 
a("16","4")=1; 
a("3","7")=1; 
a("5","7")=1; 
a("9","7")=1; 
a("10","7")=1; 
a("11","7")=1; 
a("13","7")=1; 
a("15","7")=1; 
a("16","7")=1; 
a("3","8")=1; 
a("5","8")=1; 
a("9","8")=1; 
a("10","8")=1; 
a("11","8")=1; 
a("13","8")=1; 
a("15","8")=1; 
a("16","8")=1; 
a("5","9")=1; 
a("10","9")=1; 
a("13","9")=1; 
a("16","9")=1; 
a("5","12")=1; 
a("10","12")=1; 
a("13","12")=1; 
a("16","12")=1; 
a("3","14")=1; 
a("5","14")=1; 
a("9","14")=1; 
a("10","14")=1; 
a("11","14")=1; 
a("13","14")=1; 
a("15","14")=1; 
a("16","14")=1; 
a("5","15")=1; 
a("10","15")=1; 
a("13","15")=1; 
a("16","15")=1; 
