Tmax = 100000;

s("0")=7871;

s("1")=16355;

s("2")=4035;

s("3")=3964;

s("4")=3831;

s("5")=3964;

s("6")=3420;

s("7")=6440;

q("0","1")=1;
q("1","2")=1;
q("2","3")=1;
q("3","4")=1;
q("4","5")=1;
q("5","6")=1;
q("6","7")=1;
q("7","8")=1;
q("1","9")=1;
q("2","9")=1;
q("1","10")=1;
q("3","10")=1;
q("1","11")=1;
q("4","11")=1;
q("1","12")=1;
q("5","12")=1;
q("2","13")=1;
q("3","13")=1;
q("2","14")=1;
q("6","14")=1;
q("2","15")=1;
q("7","15")=1;
q("3","16")=1;
q("5","16")=1;
q("3","17")=1;
q("7","17")=1;
q("4","18")=1;
q("5","18")=1;
q("4","19")=1;
q("6","19")=1;
q("6","20")=1;
q("7","20")=1;
q("1","21")=1;
q("2","21")=1;
q("3","21")=1;
q("1","22")=1;
q("3","22")=1;
q("5","22")=1;
q("1","23")=1;
q("4","23")=1;
q("5","23")=1;
q("2","24")=1;
q("3","24")=1;
q("7","24")=1;
q("2","25")=1;
q("6","25")=1;
q("7","25")=1;

v("0","1")=1; 
v("1","2")=1; 
v("2","3")=1; 
v("3","4")=1; 
v("4","5")=1; 
v("5","6")=1; 
v("6","7")=1; 
v("7","8")=1; 
v("1","9")=0.99; 
v("2","9")=0.94; 
v("1","10")=0.92; 
v("3","10")=0.9; 
v("1","11")=0.96; 
v("4","11")=0.94; 
v("1","12")=0.92; 
v("5","12")=0.9; 
v("2","13")=0.54; 
v("3","13")=0.66; 
v("2","14")=0.68; 
v("6","14")=0.68; 
v("2","15")=0.56; 
v("7","15")=0.73; 
v("3","16")=0.51; 
v("5","16")=0.51; 
v("3","17")=0.52; 
v("7","17")=0.6; 
v("4","18")=0.53; 
v("5","18")=0.62; 
v("4","19")=0.7; 
v("6","19")=0.68; 
v("6","20")=0.6; 
v("7","20")=0.77; 
v("1","21")=0.83; 
v("2","21")=0.45; 
v("3","21")=0.54; 
v("1","22")=0.77; 
v("3","22")=0.44; 
v("5","22")=0.44; 
v("1","23")=0.82; 
v("4","23")=0.46; 
v("5","23")=0.54; 
v("2","24")=0.32; 
v("3","24")=0.38; 
v("7","24")=0.47; 
v("2","25")=0.38; 
v("6","25")=0.39; 
v("7","25")=0.56; 

a("2","1")=1; 
a("3","1")=1; 
a("4","1")=1; 
a("5","1")=1; 
a("6","1")=1; 
a("7","1")=1; 
a("8","1")=1; 
a("9","1")=1; 
a("10","1")=1; 
a("11","1")=1; 
a("12","1")=1; 
a("13","1")=1; 
a("14","1")=1; 
a("15","1")=1; 
a("16","1")=1; 
a("17","1")=1; 
a("18","1")=1; 
a("19","1")=1; 
a("20","1")=1; 
a("21","1")=1; 
a("22","1")=1; 
a("23","1")=1; 
a("24","1")=1; 
a("25","1")=1; 
a("7","2")=1; 
a("8","2")=1; 
a("14","2")=1; 
a("15","2")=1; 
a("17","2")=1; 
a("19","2")=1; 
a("20","2")=1; 
a("24","2")=1; 
a("25","2")=1; 
a("5","3")=1; 
a("6","3")=1; 
a("11","3")=1; 
a("12","3")=1; 
a("16","3")=1; 
a("18","3")=1; 
a("19","3")=1; 
a("22","3")=1; 
a("23","3")=1; 
a("5","4")=1; 
a("7","4")=1; 
a("11","4")=1; 
a("14","4")=1; 
a("18","4")=1; 
a("19","4")=1; 
a("20","4")=1; 
a("23","4")=1; 
a("25","4")=1; 
a("8","5")=1; 
a("15","5")=1; 
a("17","5")=1; 
a("20","5")=1; 
a("24","5")=1; 
a("25","5")=1; 
a("7","6")=1; 
a("8","6")=1; 
a("14","6")=1; 
a("15","6")=1; 
a("17","6")=1; 
a("19","6")=1; 
a("20","6")=1; 
a("24","6")=1; 
a("25","6")=1; 
a("5","9")=1; 
a("6","9")=1; 
a("7","9")=1; 
a("8","9")=1; 
a("11","9")=1; 
a("12","9")=1; 
a("14","9")=1; 
a("15","9")=1; 
a("16","9")=1; 
a("17","9")=1; 
a("18","9")=1; 
a("19","9")=1; 
a("20","9")=1; 
a("22","9")=1; 
a("23","9")=1; 
a("24","9")=1; 
a("25","9")=1; 
a("5","10")=1; 
a("7","10")=1; 
a("8","10")=1; 
a("11","10")=1; 
a("14","10")=1; 
a("15","10")=1; 
a("17","10")=1; 
a("18","10")=1; 
a("19","10")=1; 
a("20","10")=1; 
a("23","10")=1; 
a("24","10")=1; 
a("25","10")=1; 
a("7","11")=1; 
a("8","11")=1; 
a("14","11")=1; 
a("15","11")=1; 
a("17","11")=1; 
a("19","11")=1; 
a("20","11")=1; 
a("24","11")=1; 
a("25","11")=1; 
a("7","12")=1; 
a("8","12")=1; 
a("14","12")=1; 
a("15","12")=1; 
a("17","12")=1; 
a("19","12")=1; 
a("20","12")=1; 
a("24","12")=1; 
a("25","12")=1; 
a("5","13")=1; 
a("6","13")=1; 
a("7","13")=1; 
a("11","13")=1; 
a("12","13")=1; 
a("14","13")=1; 
a("16","13")=1; 
a("18","13")=1; 
a("19","13")=1; 
a("20","13")=1; 
a("22","13")=1; 
a("23","13")=1; 
a("25","13")=1; 
a("5","14")=1; 
a("6","14")=1; 
a("11","14")=1; 
a("12","14")=1; 
a("16","14")=1; 
a("18","14")=1; 
a("19","14")=1; 
a("22","14")=1; 
a("23","14")=1; 
a("5","15")=1; 
a("6","15")=1; 
a("11","15")=1; 
a("12","15")=1; 
a("16","15")=1; 
a("18","15")=1; 
a("19","15")=1; 
a("22","15")=1; 
a("23","15")=1; 
a("5","16")=1; 
a("7","16")=1; 
a("8","16")=1; 
a("11","16")=1; 
a("14","16")=1; 
a("15","16")=1; 
a("17","16")=1; 
a("18","16")=1; 
a("19","16")=1; 
a("20","16")=1; 
a("23","16")=1; 
a("24","16")=1; 
a("25","16")=1; 
a("5","17")=1; 
a("7","17")=1; 
a("11","17")=1; 
a("14","17")=1; 
a("18","17")=1; 
a("19","17")=1; 
a("20","17")=1; 
a("23","17")=1; 
a("25","17")=1; 
a("7","18")=1; 
a("8","18")=1; 
a("14","18")=1; 
a("15","18")=1; 
a("17","18")=1; 
a("19","18")=1; 
a("20","18")=1; 
a("24","18")=1; 
a("25","18")=1; 
a("8","19")=1; 
a("15","19")=1; 
a("17","19")=1; 
a("20","19")=1; 
